year,loanword_density
2011,0.22361796164527667
2012,0.21684999997756685
2013,0.21334856084966608
2014,0.19663074261672595
2015,0.1685284228128188
2016,0.10544733398819828
2017,0.12010974453744173
2018,0.11910375024302126
2019,0.12461849709010839
2020,0.1098825934809207
2021,0.1187803581679677
2022,0.11718567798867321
2023,0.11610172302201274
2024,0.10699960699941574
2025,0.1088011782853931
